标题,时间,内容
航天追梦者永远青春,2022年11月30日11:57,中国载人航天一如既往的稳当。2022年11月29日23时08分，神舟十五号载人飞船从酒泉卫星发射中心载人航天发射场启程前往太空。停泊于T字基本构型的中国空间站后，11月30日7时33分，神舟十四号航天员乘组顺利打开“家门”，两个航天员乘组“胜利会师”。神十五任务是今年我国载人航天工程的第六次飞行任务，也是空间站建造阶段最后一次飞行任务。此次发射成功标志着空间站关键技术验证和建造阶段规划的12次发射任务全部圆满完成。这是一次承前启后的任务。神十五任务既是中国空间站建造阶段的最后一棒，也是空间站应用与发展阶段的第一棒。从神十五航天员这一次太空驻留开始，完成基本构型建造的空间站将进入为期10年以上的应用与发展阶段。在中国空间站即将完成建造之际，神十五航天员飞出了自己的圆梦之旅。神十五乘组是空间站任务以来平均年龄最大的一个乘组，他们有着各自的飞天梦想。费俊龙在完成神六任务的17年后再度飞天，张陆是等待12年后首次出征太空，而对我国首批航天员邓清明来说，更是“振翅”20多年，与任务曾经一次次擦肩而过，此次终于如愿进入太空。神十五“圆梦”乘组的飞天轨迹，勾勒的是为梦想而坚持的奋斗足迹。邓清明坚守飞天初心，把永不停歇训练当作常态，也固化为姿态，对他来说，可以用一生去默默准备，但不允许当任务来临的时候却没有准备好。费俊龙豪迈自信，他说，虽然年龄最大，但我们的飞行本领一直保持在青春状态。空间站即将建成，这是一个民族飞天梦想的不断抵近。神十五的发射成功，为环环相扣、高密度高难度高风险的12次空间站建造发射，画上一个圆满句号。特别是自2021年4月底天和核心舱发射以来，仅用不到20个月时间，先后成功发射3个空间站舱段、4艘载人飞船和4艘货运飞船，在探索浩瀚宇宙的新征程上跑出了中国航天的“加速度”。今年是我国载人航天工程起步30年，也即将完成“三步走”的梦想蓝图。在这波澜壮阔的征程中，正是一代又一代的追梦者，汇聚起每个人的涓滴梦想，以可上九天揽月的豪情壮志和无穷智慧，用30年跨越发达国家半个世纪的发展历程，把中国人自己的空间站送上苍穹，成为“太空中最闪亮的星”，标注梦想可以抵达的高度。在探索浩瀚星空的道路上，追梦人永远青春洋溢。中国载人航天探索的脚步不会只停留在近地轨道，一定会飞得更稳、更远。新时代的航天人，以老一代航天人为榜样，敢于战胜一切艰难险阻，勇于攀登航天科技高峰，必将不断谱写航天事业壮丽篇章，早日实现建设航天强国的伟大梦想。
凝聚共识 齐心抗疫,2022年11月29日10:30,近期，全国本土疫情呈现传播范围广、传播链条多、疫情波及面扩大的严峻复杂态势，疫情防控再遇大考。越是这个时候，越是不能乱、不能慌，越要保持战略定力、凝聚广泛共识，完整、准确、全面贯彻落实党中央决策部署，筑牢疫情防控的坚实屏障。近3年来，我们的抗疫成果是毋庸置疑的。事实证明，我们坚持边防控、边研究、边总结、边调整，根据全球疫情形势和病毒变异情况，结合我国疫情防控实践经验，因时因势因地优化调整防控措施的做法，是正确的、有效的。对此，我们必须有坚定的信心。二十条优化措施提出加大对“层层加码”“一刀切”等问题整治力度，切实满足疫情处置期间群众基本生活需求，解决好人民群众实际困难。坚持第九版防控方案，落实二十条优化措施，不动摇、不走样，要努力把该管住的风险管住，该落实的落实到位，该取消的坚决取消。国家出台的各项科学精准防控政策应是各地各部门凝聚共识的出发点和落脚点。我们也要清醒地认识到，疫情防控没有旁观者，也没有局外人。抗击病毒、共渡难关是我们的最大共识，护佑生命是全社会的一致目标、共同责任。这是提高疫情防控工作科学性有效性的前提，也是做好群防群控、联防联控的基础。只有凝聚共识、团结一心，以更大决心、更大魄力落实好疫情防控各项工作，才能尽快遏制疫情扩散蔓延，筑牢疫情防控屏障。凝聚疫情防控的共识，必须统一到科学精准的策略举措上。我们的疫情防控工作要更加精准、更加有效、更加科学、更加完善，既不能认识不足、准备不足、工作不足，也不能层层加码、过度防疫、“一刀切”，而是要以实实在在的工作成效暖人心、聚民心、强信心。在人命关天的问题上，在疫情防控的责任前，我们必须拧成一股绳、铆足一股劲。这意味着彼此之间要少一分戾气、多一些理解，少一分指责、多一些倾听，少一分推诿、多一些耐心。战胜疫情，要靠科学规律，也离不开齐心协力。筑牢精准高效控制疫情的健康防线，铸就众志成城抗击疫情的精神防线，我们一定能共渡难关，迎来这场攻坚战的胜利！
战胜疫情，信心耐心贵如金,2022年11月28日21:28,最近，新冠肺炎疫情牵动人心。新增感染者数量持续增加，本土疫情传播范围广、传播链条多、波及面扩大、持续时间较长，防控难度不断加大。面对严峻复杂态势，唯有扛起责任、同心抗疫，才能取得胜利。病毒在变，对病毒的认识在变，防控措施也在变。自疫情发生以来，我们边防控、边研究、边总结、边调整，防控措施不断优化调整，防控方案先后出台了9版。各地区各部门也根据具体情况，因地制宜、动态调整，不断提高科学精准防控水平。种种实践都表明，防控方案越科学，防控举措越精准，防控效果就越有效，我们有基础、有条件，也有信心、有能力高效统筹疫情防控和经济社会发展，最大程度保护人民生命安全和身体健康，最大限度减少疫情对经济社会发展的影响。坚持就是胜利，团结就是力量。只要有必胜的信念、昂扬的斗志、坚毅的韧劲，就能征而战之、战而胜之。信心和耐心，来自于不折不扣的行动。抗击疫情，不能“慢散拖”，而要“稳准快”。一方面，“防”在前面，尽早发现疫情苗头、尽快切断传播链条；另一方面，“控”在当下，坚决落实“四早”要求，以快制快，对重点地区采取更为坚决、果断措施攻坚，尽快遏制疫情扩散蔓延。对于疫情，不论是防、控、治，都要拿出具体举措，在科学、精准上下功夫，以防控工作的有效性降低疫情发生的可能性和疫情肆虐的风险性。如此，才能最大限度地降低疫情对群众正常生产生活秩序的影响，最大限度凝聚起抗疫的共识和信心。信心和耐心，来自于矢志不松的坚守。常态化疫情防控攻坚战，不是一时的、一地的。这意味着，疫情防控不能等待观望、各行其是，不能有麻痹思想、厌战情绪、侥幸心理、松劲心态。抗击疫情，信心耐心贵如金，斗志意志重于山。实践已经表明，抗疫斗争具有复杂性、艰巨性、反复性，不仅是实力的较量，更是意志力的比拼。倘若哪里松一松、放一放，很容易导致前功尽弃。同时，要谨防出现“一刀切”和层层加码，坚决防止简单化的做法。始终绷紧疫情防控这根弦，除了态度更坚决、更果断，行动更迅速、更有力，还要保持定力、积蓄耐力，如此方能使抗疫的底气更足、士气更旺。信心和耐心，来自于合而战之的团结。万众一心、同甘共苦，是被抗疫斗争证明了的一条宝贵经验。抗疫为了人民，依靠人民。在具体实践中，各地区各部门同群众肩并肩、心连心，出台措施时多考虑群众实际和需求，遇到问题时多倾听群众的意见和建议。对群众的合理诉求，尽量满足；对一时难以协调的情况，解释到位。多一些耐心、理解、体谅与互信，才能多一些信任、包容、合作与共赢。换言之，大家都心往一处想、劲往一处使，涵养足够的耐心、做好正确的事情，群众战胜疫情的信心必定十足、力量必定十足。疫情未远去，大考仍继续，这是艰巨繁重且需要持久坚持的工作。形势越严峻，态势越复杂，我们越需要坚定信心、保持耐心。不断强化责任担当、增强能力本领，守土有责、守土尽责，抓实抓细疫情防控各项工作，就一定能打好打赢这场常态化疫情防控攻坚战。
坚持第九版防控方案，落实二十条优化措施,2022年11月27日15:43,当前，受病毒变异和冬春季气候因素影响，疫情防控形势严峻复杂，新增感染者数量持续增加，疫情波及范围广、传播链条多。越是形势严峻复杂，越需要完整、准确、全面贯彻落实党中央决策部署，坚持“三个坚定不移”，坚持第九版防控方案，落实二十条优化措施，不动摇、不走样，把高效统筹疫情防控和经济社会发展的要求落到实处。从二十条优化措施内容看，无论是不得随意扩大高风险区范围，符合解封条件的高风险区要及时解封，最大限度减少管控人员，还是没有发生疫情的地区不得扩大核酸检测范围，一般不按行政区域开展全员核酸检测，纠正“一天两检”“一天三检”等不科学做法，都是基于对病毒变异和传播规律的把握和近3年来各地防控经验的总结，是稳中求进、走小步不停步、符合我国国情、更加科学精准的举措，不是放松放开，更不是“躺平”，必须不打折扣坚决贯彻落实。打赢常态化疫情防控攻坚战，可贵的是信心和斗志，可贵的是科学防治、精准施策。当务之急是，坚持第九版防控方案，落实二十条优化措施，确保不动摇、不走样，实实在在提高疫情防控的科学性、精准性、有效性。熟悉政策是前提。无论是各级领导干部还是基层工作者，都必须准确掌握第九版防控方案和二十条优化措施的具体内容和精神主旨。就在几天前，国务院联防联控机制综合组发布关于《新冠肺炎疫情防控核酸检测实施办法》《新冠肺炎疫情风险区划定及管控方案》等4个文件的通知，方便相关工作人员更好理解和执行二十条优化措施。只有准确掌握最新要求，才能与时俱进做好防控工作。严格执行是关键。要把坚决打赢常态化疫情防控攻坚战的决心，体现在科学精准的防控工作中，反映到落实尽快遏制疫情扩散蔓延、尽快恢复正常生产生活秩序这“两个尽快”的成效上来。二十条优化措施中提出，“严禁随意封校停课、停工停产、未经批准阻断交通、随意采取‘静默’管理、随意封控、长时间不解封、随意停诊等各类层层加码行为。”对此，地方党委和政府务须落实属地责任，严格执行党中央决策部署，进一步纠正与第九版防控方案和二十条优化措施不相符的做法。监督问责是保障。既要反对放松、放开、“躺平”等不负责任的态度和做法，也要坚决整治“层层加码”“一刀切”等问题，反对和克服任何形式的形式主义、官僚主义。要发挥好行政督导和纪检约谈等机制作用，加大通报、公开曝光力度，对造成严重后果的依法依规严肃追责。疫情防控越是到最吃劲的时候，越要坚持依法防控，在法治轨道上统筹推进各项防控工作，全面提高依法防控、依法治理能力。遵规守法、严守防疫要求，公众是疫情防控的主体。相信人民、依靠人民，相信科学、依靠科学，过去是现在依然是战胜疫情的法宝。该管住的坚决管住，该取消的坚决取消，该落实的落实到位，我们一定能最大程度保护人民生命安全和身体健康，最大限度减少疫情对经济社会发展的影响。
把青年工作作为战略性工作来抓,2022年11月24日09:23,在新时代十年伟大变革中，青春的光芒分外亮丽，青年的身影格外醒目。从抗击新冠肺炎疫情的青年志愿者到喊出“清澈的爱，只为中国”的戍边英雄，从孜孜投身航天事业的科研工作者到拨亮乡村教育灯火的支教群体，无数奋进青年以事实和行动向世人说明：“新时代的中国青年是好样的，是堪当大任的！”习近平总书记在党的二十大报告中强调：“全党要把青年工作作为战略性工作来抓，用党的科学理论武装青年，用党的初心使命感召青年，做青年朋友的知心人、青年工作的热心人、青年群众的引路人。”这一论断，深刻揭示了青年工作在党和国家事业全局中的战略地位，为做好新时代党的青年工作指明了前进方向、提供了根本遵循。向着第二个百年奋斗目标迈进，新时代青年坚定不移听党话、跟党走，不断奉献祖国、奉献人民，必能让青春在全面建设社会主义现代化国家的火热实践中绽放绚丽之花。回望过去，我们党历来高度重视青年、关怀青年、信任青年。从新民主主义革命时期团结带领广大青年踊跃投身反帝反封建的工农运动和学生运动，到社会主义革命和建设时期组建青年突击队、青年垦荒队、青年扫盲队向科学进军、向困难进军、向荒原进军，从改革开放和社会主义现代化建设新时期激励广大青年争当新长征突击手，到新时代引领广大青年在脱贫攻坚、科技攻关、疫情防控等党和人民最需要的地方贡献青春力量，正是在中国共产党的旗帜下，一代代青年成为实现中华民族伟大复兴的先锋力量。青年奋斗向上的勇毅身影，描绘出中国奋进向前的壮美宏图。代表广大青年、赢得广大青年、依靠广大青年，是我们党不断从胜利走向胜利的重要保证。召开党的历史上第一次中央党的群团工作会议，出台新中国历史上第一个青年发展规划，印发党的历史上第一个以党中央名义发布的少先队工作文件……党的十八大以来，青年工作之所以取得历史性成就，青年一代之所以更加积极向上，原因正在于以习近平同志为核心的党中央从确保党的事业薪火相传和中华民族永续发展的战略高度，不断加强党对青年工作的领导。青年工作不是一般的工作，直接关系中国特色社会主义事业后继有人、兴旺发达。把青年工作作为战略性工作来认识把握、统筹部署、系统落实，实现我们的奋斗目标才能有源源不断的人才支撑和力量凝聚。当前，全党全国各族人民正在为全面建设社会主义现代化国家、全面推进中华民族伟大复兴而团结奋斗。这是党和国家工作大局，也是青年运动的时代主题。把青年工作作为战略性工作来抓，必须紧紧围绕这个大局和这个主题来进行，立足党的事业后继有人这一根本大计，把培养中国特色社会主义事业建设者和接班人作为根本任务，把巩固和扩大党执政的青年群众基础作为政治责任，把围绕中心、服务大局作为工作主线。对党员干部特别是领导干部而言，务须当好青年朋友的知心人、青年工作的热心人、青年群众的引路人，引导广大青年用青春书写无愧于时代、无愧于历史的华彩篇章。青年是祖国的未来、民族的希望，也是党的未来和希望。青年一代有理想、有担当，实现我们的发展目标就有源源不断的强大力量。新时代青年紧紧簇拥在党和人民的周围，勇于担当时代赋予的历史责任，中华民族伟大复兴终将在青春接力奋斗中变为现实。
出实招用实劲，支持农民工就业创业,2022年11月23日13:59,就业是最大的民生。日前，人力资源社会保障部等五部门印发《关于进一步支持农民工就业创业的实施意见》（以下简称《意见》），支持稳定农民工就业岗位，全面落实社保费缓缴、稳岗返还、留工培训补助、社会保险补贴等政策，指导企业不得以年龄为由“一刀切”清退大龄农民工。农民工就业问题，事关经济社会全局和亿万农民福祉。《意见》明确支持稳定农民工就业岗位、引导农民工有序外出务工、促进农民工就近就业创业、强化农民工就业服务保障、实施防止返贫就业攻坚行动等促进农民工及脱贫人口就业创业的五方面政策措施，出实招用实劲，解农民工之忧，帮助农民工走上高质量就业之路。促进农民工及脱贫人口就业创业，是保持就业大局稳定的重要支撑，是巩固拓展脱贫攻坚成果同乡村振兴有效衔接的关键举措。一直以来，农民工务工就业存在着就业信息不对称、转岗就业技能不足等问题。如何打通农民工就业“堵点”，《意见》从允许失业农民工在常住地、就业地、参保地进行失业登记，到加大零工信息归集推介力度，建立“即时快招”服务机制，再到有序组织线下招聘活动，优化“互联网+就业”线上服务……通过一系列政策“组合拳”，充分调动和激发人力资源服务机构纽带作用，有针对性地解决农民工就业创业过程中遇到的实际问题，助力农民工就业创业驶上“快车道”。拓展大龄农民工就业空间，加强劳动权益保护。数据显示，2021年全国50岁以上农民工所占比重为27.3%，比上年提高0.9个百分点。《意见》明确做好大龄农民工就业扶持。一方面，收集适合大龄农民工的就业岗位、零工信息，在农民工专场招聘活动中持续发布；另一方面，尊重大龄农民工就业需求和企业用工需要，指导企业根据农民工身体状况合理安排工作岗位，不得以年龄为由“一刀切”清退。此次从国家层面明确纠正了以年龄为由“一刀切”清退大龄农民工的做法，不仅保障了大龄农民工就业权益，让他们的获得感、幸福感、安全感更加充实、更有保障、更可持续，更为解决企业用工荒提供了有力补充。近年来，农民工更趋向于就近就业和返乡创业。农业农村部数据显示，截至6月底，返乡农民工就地就近就业率为90.7%。这要求各地区各部门要压实地方责任，加快发展县域特色产业，提升县域就业承载力，拓宽就业渠道；大力实施以工代赈，尽可能增加劳务报酬发放规模，组建一批创业服务专家队伍，为返乡创业农民工提供专业化服务。实践充分证明，农民工工作有岗位，上岗有技能，多劳多得，勤劳致富，定能托起更加美好的幸福生活。众智谋事必明，众力举事必成。当务之急，各地区各部门要将政策不折不扣的落地、落实、落细，帮助农民工切实享受到政策红利，提高农民工的再就业能力，让每个人都有通过勤奋劳动实现自身发展的机会，他们的生活一定会芝麻开花节节高。
坚持旅游为民，推动露营健康有序发展,2022年11月23日13:35,文化和旅游部等14部门近日印发《关于推动露营旅游休闲健康有序发展的指导意见》（以下简称《意见》），明确提出，推动公共营地建设，扩大公共营地规模，提升服务质量；鼓励支持经营性营地规范建设，提高露营产品品质；有序引导露营旅游休闲发展，不断满足人民群众美好生活需要。暂别城市喧嚣，择山水草坪扎营，或与孩子掷飞盘嬉戏，或和亲友野餐小酌，感受摇曳花香，仰望璀璨星空……随着公众休闲方式多样化，露营日益成为人们亲近自然、享受惬意的新选择。但也要看到，户外露营发展时间尚短，逐渐暴露出供需不平衡、设施不健全、安全有隐患等问题。群众有需求，政策有所应。有关部门出台《意见》，不仅是认真贯彻党的二十大精神，落实《“十四五”旅游业发展规划》《国民旅游休闲发展纲要（2022—2030年）》旅游为民的要求，更旨在丰富优质露营休闲产品供给，推动露营旅游健康有序发展。露营，首先要有明确范围和相应设施的营地。《意见》明确，在符合相关规定和规划的前提下，探索支持在转型退出的高尔夫球场、乡村民宿等项目基础上发展露营旅游休闲服务；鼓励有条件的旅游景区、旅游度假区、乡村旅游点、环城游憩带、郊野公园、体育公园等，划出露营休闲功能区，提供露营服务；鼓励城市公园利用空闲地、草坪区或林下空间划定非住宿帐篷区域，供群众休闲活动使用。科学规划、遵规守矩、分类指导，使多种类型的场所都被纳入提供露营场地的范畴，这是从供给侧顺应群众需求，会令近郊游、度假游、公园游等不同距离和时长的露营都有休憩之地。同时，这也是利用存量空间和现有资源，节约建设成本，避免盲目上马项目、恶性竞争。《意见》还指出，营地选址应当科学合理、注意安全，避让生态区位重要或脆弱区域，远离洪涝、山洪、地质灾害等自然灾害多发地和危险野生动植物活动区域。有所为，有所不为，对于露营的可持续发展大有裨益。推动文化和旅游融合发展，同样体现在《意见》中。鼓励和引导营地与文博、演艺、美术等相关机构合作，结合音乐节、艺术节、体育比赛等群众性节事赛事活动，充实服务内容。以文塑旅，以旅彰文，使露营不仅能带来身心放松，还会丰富游客的精神与文化生活。增强人民群众文明露营意识，推广“无痕露营”，更是让游客“除了脚步，什么都别留下。”安全更是露营旅游的要点，管理和监督不可或缺。露营旅游休闲经营主体要加强治安、消防、森林草原防灭火等管理。压实经营主体责任，严格落实隐患排查，及时整治防患于未然。同时，各地要充分落实属地管理责任，加强部门间协调联动，在规划建设、规范管理、公共服务、环境营造、安全保障等方面同向发力。守土有责，守土尽责，才能确保群众获得良好的露营服务及周边保障。旅游已成为中国百姓幸福生活的重要指标。不断增加包括露营在内的优质旅游资源供给，努力满足群众日益增长的个性化、差异化、多层次旅游休闲需求，是旅游为民的切实体现，更是以人民为中心发展思想的必然要求。
加强干部斗争精神和斗争本领养成,2022年11月23日08:27,“加强干部斗争精神和斗争本领养成，着力增强防风险、迎挑战、抗打压能力，带头担当作为，做到平常时候看得出来、关键时刻站得出来、危难关头豁得出来。”党的二十大报告对“建设堪当民族复兴重任的高素质干部队伍”提出了明确要求，斗争精神和斗争本领的养成是其中一个重要内容。敢于斗争、敢于胜利，是中国共产党人鲜明的政治品格。党的百年奋斗史就是一部伟大斗争史。我们党一出生就铭刻着斗争的烙印，一路走来就是在斗争中求得生存、获得发展、赢得胜利。特别是党的十八大以来，面对影响党长期执政、国家长治久安、人民幸福安康的突出矛盾和问题，以习近平同志为核心的党中央团结带领全党全军全国各族人民撸起袖子加油干、风雨无阻向前行，义无反顾进行具有许多新的历史特点的伟大斗争，引领中国号巨轮穿越重重险滩，在跨越历史雄关中朝着光明未来破浪前行。正因如此，党的二十大报告把“坚持发扬斗争精神”作为前进道路上必须牢牢把握的重大原则之一，把“敢于斗争、善于斗争”作为“三个务必”的重要内容，党的二十大还把发扬斗争精神、增强斗争本领的内容写入党章。斗争精神、斗争本领，不是与生俱来的。党员干部只有经受严格的思想淬炼、政治历练、实践锻炼、专业训练，在复杂严峻的斗争中经风雨、见世面、壮筋骨，才能真正锻造成为烈火真金。一方面，要有敢于斗争的勇气。困难挑战面前，总想过太平日子、不想斗争是不切实际的，决不能碰到一点挫折就畏缩不前，一遇到困难就打退堂鼓。另一方面，也要有善于斗争的本领。如何更好激发微观主体活力？如何推动共同富裕取得更为明显的实质性进展？如何以中国式现代化全面推进中华民族伟大复兴？解答好这些没有现成答案的时代课题，尤其需要坚持在斗争一线真枪真刀磨砺，强弱项、补短板，练就敢于斗争、善于斗争的硬脊梁、铁肩膀、真本事。我们党依靠斗争走到今天，也必然要依靠斗争赢得未来。当前和今后一个时期，我国发展进入各种风险挑战不断积累甚至集中显露的时期，面临的重大斗争不会少。越是目标远大、任务艰巨，越是形势复杂、挑战严峻，越需要加强斗争精神和斗争本领养成。在这个船到中流浪更急、人到半山路更陡的时刻，我们必须坚持发扬斗争精神、磨炼斗争意志，知重负重、苦干实干，在乱云飞渡中把牢正确方向，在风险挑战面前砥砺胆识，激发为实现中华民族伟大复兴而奋斗的信心和动力。党的二十大闭幕不到一周，习近平总书记带领中共中央政治局常委专程前往陕西延安，瞻仰革命纪念地，强调“全党同志要发扬斗争精神、提高斗争本领，坚决战胜前进道路上的各种困难和挑战，依靠顽强斗争打开事业发展新天地。”前进道路上，发扬斗争精神、增强斗争本领，保持知难而进、逆流而上的气概，淬炼遇强更强、愈挫愈勇的坚韧，我们就一定能在新时代新征程上赢得优势、赢得主动、赢得未来，推动中国特色社会主义事业航船劈波斩浪、一往无前。
树立大食物观，构建多元化食物供给体系,2022年11月22日08:56,山里野生菌卖得俏，海里水产品养得好，田里稻与虾产出丰……近年来，各地跳出“一亩三分地”的单一种植，唱“林草戏”、念“山海经”、打“科技牌”，让更多自然资源产出多样美味，助力食物供给更多元，居民餐桌更精彩。悠悠万事，吃饭为大。我国以世界9%的耕地和6%的淡水养育了世界近1/5的人口，人均粮食占有量高于世界平均水平。但如何提升国家粮食安全保障能力和国民营养健康水平，还有很多工作要做。党的二十大报告提出“树立大食物观”，就是要面向整个国土资源，全方位、多途径开发食物。近年来，我国大力推进国民营养计划和健康中国合理膳食行动，食品安全和营养健康各项工作取得积极进展，群众获得更多营养产品。更好树立大食物观，才能满足人民群众饮食需求，守护“舌尖上的幸福”。保障粮食安全是一个永恒课题。我国有14亿多人口，每天要消耗70万吨粮、192万吨菜和23万吨肉。面对百年变局和世纪疫情，“三农”压舱石作用进一步凸显。树立大食物观，正是保障粮食安全的题中应有之义。向森林要食物，向江河湖海要食物，向设施农业要食物，同时从传统农作物和畜禽资源向更丰富的生物资源拓展，向植物动物微生物要热量、要蛋白，有助于构建多元化食物供给体系，牢牢端稳“中国饭碗”。从吃得饱到吃得好、吃得健康，人们的食物结构正在发生改变，食品消费需求日益多元化。习近平总书记在今年两会期间指出：“在确保粮食供给的同时，保障肉类、蔬菜、水果、水产品等各类食物有效供给，缺了哪样也不行。”随着人民生活水平不断提高，主食吃得少了，肉蛋奶消费量上去了；有机粗粮、特产水果、山珍海味等日益成为餐桌上的常客。树立大食物观，丰富粮仓、菜篮、油瓶和果盘，才能优化食品供给结构布局，让人们吃得更好。时下，挪威三文鱼、泰国榴莲、西班牙火腿等外国美食，装点着中国人的餐桌。树立大食物观，既要利用国内国际两个市场、两种资源，提高国际供应链的稳定性，更要立足自身，推动农业供给侧结构性改革。我国幅员辽阔、地形复杂、气候多样，为农业生产多样化提供了条件。让食物来源更广泛、食物种类更丰富，就要将目光从耕地资源向整个国土资源拓展，宜粮则粮、宜经则经、宜牧则牧、宜渔则渔、宜林则林，更好开发食物，逐步形成同市场需求相适应、同资源环境承载力相匹配的现代农业生产结构和区域布局。树立大食物观，必须向科技要答案。时下，一个个食品新领域成为研究新课题。如何发展现代种业、栽培技术，让产出食物更优质；如何读懂山水林田湖草沙，让更多食品种类形成生态产业；如何研发人造蛋白等新型食品，实现食物品种生产方式创新；如何加强生产和市场的联系，形成稳定产业链……回答相关问题，需要多学科合作攻关，群策群力，推动食品产业高质量发展。过去几十年，杂交水稻让亿万中国人“吃得饱”，让“禾下乘凉梦”逐渐成为现实。相信不久的将来，来自山林大川、江河湖海的多样食物，将让14亿多中国人“吃得好”“吃得健康”，推动国民科学合理膳食，为健康中国筑牢根基。
建设全民终身学习的学习型社会、学习型大国,2022年11月21日11:11,持续开展终身学习数字化转型相关公开课等各类线上线下学习活动，开展全民终身学习十年成果总结宣传及展示活动……教育部近日印发通知，对做好2022年全民终身学习活动周工作作出了部署。党的二十大报告中强调，“建设全民终身学习的学习型社会、学习型大国。”构建服务全民终身学习的教育体系，形成全民学习、终身学习的学习型社会，促进人的全面发展，这是关系到中华民族能否持续发展、能否实现民族复兴大业的战略问题。今年活动周是教育部自2005年以来举办的第18届全民终身学习活动周，以“学习贯彻二十大，终身学习向未来”为主题，是完善全民终身学习教育体系的生动实践，有助于让人民群众在日常生活中享有更多学习的机会、丰富便捷的学习资源、更高质量的教育服务。全民终身学习，涉及全民学习和终身学习两个重点维度。可以看到，本次全民终身学习活动周的部署也正是围绕这二者展开。针对全民学习，将邀请有关专家、组织城乡社区教育干部和志愿者开展党的二十大精神宣讲，采取群众喜闻乐见的形式，深入宣传本地学习贯彻党的二十大精神的具体举措和实际行动，通过活动周助力形成全社会学习党的二十大精神的浓厚氛围。针对终身学习，则重点抓住老年人、青少年等群体，有针对性地提出持续开展“智慧助老”等学习活动、引导青少年养成阅读习惯、采用线上线下互动等多种方式，助力书香中国建设，确保全年龄段的终身学习。同时，还集中组织开展“百姓学习之星”“终身学习品牌项目”等活动，宣传榜样力量，以点带面促进全民终身学习理念更加深入人心。党的十八大以来，教育改革开放持续深化，服务全民终身学习的教育体系进一步完善。面向未来，完善全民终身学习机制还需要全社会的共同参与，也需要良好的社会氛围。做好全民终身学习，不止在活动周、不止在特定的日子。期待全社会都能从实际行动出发，把学习作为一种生活方式，真正让“人人皆学、处处能学、时时可学”成为自觉，成为日常。
没有农业农村现代化，就没有整个国家现代化,2022年11月21日10:28,在广袤的三江平原，农机纵横驰骋，丰收的喜悦挂在种粮大户脸上；在河北成安县，玉米套大豆，科技加持一亩双收，圆滚滚的豆子、黄澄澄的玉米收储入仓；在河南一家工厂车间，一粒粒麦子穿过纵横排列的管道，经过几十道工序，变身为小麦淀粉、谷朊粉等高附加值产品……从东北粮仓到岭南大地，从鱼米之乡到塞上江南，广大乡村干部群众正在学习贯彻党的二十大精神，奋楫前行加油干，为早日实现农业农村现代化而不懈奋斗。全面建设社会主义现代化国家，最艰巨最繁重的任务仍然在农村。习近平总书记在党的二十大报告中指出“全面推进乡村振兴”，强调“坚持农业农村优先发展”“加快建设农业强国”“建设宜居宜业和美乡村”。这是以习近平同志为核心的党中央统筹国内国际两个大局、坚持以中国式现代化全面推进中华民族伟大复兴，对加快推进农业农村现代化、建设农业强国作出的重大战略部署，必将为中国式现代化夯实农业农村基础。察大势、观大局，加快推进农业农村现代化是中国式现代化的题中应有之义。从中华民族伟大复兴战略全局看，农业农村现代化是中国式现代化的重要基础。近年来，虽然我国“三农”工作取得显著成就，但城乡发展不平衡、农村发展不充分仍是当前我国社会主要矛盾的重要体现。解决农业农村现代化面临的矛盾问题，是全面建设社会主义现代化国家的重大任务。从世界百年未有之大变局看，农业农村现代化是中国式现代化的“压舱石”。“三农”向好，全局主动。在现代化进程中，稳住农业基本盘、守好“三农”基础，能否处理好工农关系、城乡关系，影响着应变局、开新局的成效，也在很大程度上决定着现代化的成败。加快推进农业农村现代化，关键在科技创新和改革驱动。深入实施种业振兴行动，强化农业科技和装备支撑，发展设施农业……贯彻落实党的二十大报告的相关部署，都离不开现代科技和创新管理。一方面，我们需要立足国情，加强农业与科技融合，加快农业科技创新步伐，努力抢占世界农业科技竞争制高点，显著提高我国农业科技进步贡献率。另一方面，我们需要推进农业供给侧结构性改革，加快构建现代农业产业体系、生产体系、经营体系，提升农业劳动生产率，提高农业综合效益和竞争力。加快推进农业农村现代化，贵在城乡一体化发展。现代化进程中城的比重上升、乡的比重下降是客观规律，但城乡将长期共生并存也是客观规律。因而，全面建设社会主义现代化国家，既要建设繁华的城市，也要建设繁荣的农村，推动工业和农业相互促进、城市与乡村相互融合。不管是推动先进生产要素向乡村流动、公共服务向乡村延伸，还是城乡融合发展体制机制更加完善，都要顺应农民群众对美好生活的向往，缩小城乡发展差距，努力将农村打造成农民的幸福家园。加快推进农业农村现代化，根在物质文明和精神文明协调推进。物质富足、精神富有是社会主义现代化的根本要求，也是农业农村现代化的内在要求。当下，一些优秀传统乡土文化逐渐衰落凋零，一些各具特色的传统村落正在加速消失，农村高价彩礼、人情攀比、封建迷信、厚葬薄养、铺张浪费等陈规陋习亟待纠正治理。防止农业农村现代化一脚低一脚高，我们必须坚持物质文明和精神文明一起抓，在加强物质等“硬件”建设的同时，注重在滋润人心、德化人心、凝聚人心的“软件”上下功夫。加快推进农业农村现代化，全面推进乡村振兴是有效途径。我国农村地域辽阔，各地情况千差万别、社会风俗习惯不同，全面推进乡村振兴是一项长期任务、系统工程，必须稳扎稳打、久久为功。坚持数量服从质量、进度服从实效，真正把好事办好、实事办实，定能让农民群众在全面推进乡村振兴中有更多获得感、幸福感、安全感。
